Timestamp	datatype	data
697155551	accel	-5.030012, 8.134998, 3.4283166
697155559	orientation	-3.2922693E-5, -1.1373259, 1.1160034
697155571	accel	-4.638487, 8.162815, 3.9119658
697155579	orientation	-0.016356409, -1.1717001, 1.1205703
697155592	accel	-5.111368, 7.9974113, 3.3984063
697155599	orientation	-0.026481181, -1.2057978, 1.1330025
697155612	accel	-4.6432724, 7.8646097, 2.579762
697155619	orientation	-0.041360114, -1.2419297, 1.1436169
697155632	accel	-3.4055848, 7.98784, 2.7269206
697155639	orientation	-0.05977901, -1.2799722, 1.1502347
697155652	accel	-2.7352953, 7.9854474, 3.1387851
697155660	orientation	-0.067630924, -1.3172928, 1.1647502
697155672	accel	-3.3924243, 7.6755767, 2.632404
697155680	orientation	-0.062413227, -1.3530141, 1.1933213
697155692	accel	-3.7301114, 7.5400834, 1.4856437
697155700	orientation	-0.06361143, -1.3916576, 1.2202526
697155712	accel	-1.4042878, 7.7365937, 1.3824533
697155720	orientation	-0.07894872, -1.4339604, 1.233486
697155733	accel	0.37597227, 7.8897343, 2.3844478
697155740	orientation	-0.07384029, -1.473708, 1.2626122
697155753	accel	-1.4509479, 7.576275, 2.8106692
697155760	orientation	0.017041953, -1.5081165, 1.3775465
697155773	accel	-3.7731822, 6.862615, 0.98883396
697155780	orientation	0.3524644, -1.5428907, 1.7442663
697155793	accel	-1.8026928, 6.7645097, -0.26799613
697155801	orientation	2.458771, -1.5460687, -2.3979912
697155813	accel	2.1966112, 7.3666034, 1.1611172
697155821	orientation	2.8286467, -1.5018744, -2.0020568
697155833	accel	2.2265215, 7.4120674, 3.1926236
697155841	orientation	2.871184, -1.4636823, -1.9388883
697155854	accel	-0.8775677, 6.6711893, 1.7261224
697155861	orientation	2.8687086, -1.4270198, -1.9092119
697155874	accel	0.30538398, 6.1851473, -1.0989038
697155881	orientation	2.8636765, -1.383087, -1.8709918
697155894	accel	2.82383, 6.6149583, 1.4318053
697155901	orientation	2.8640258, -1.3363216, -1.8395584
697155914	accel	3.4271202, 6.6556363, 2.7317061
697155922	orientation	2.864583, -1.2947522, -1.8167443
697155934	accel	1.582553, 6.0786667, 1.570589
697155942	orientation	2.8579485, -1.2553141, -1.7916915
697155954	accel	2.254039, 5.622535, -0.42502514
697155962	orientation	2.8426192, -1.2105615, -1.7661312
697155974	accel	4.8194437, 5.8008003, 0.4848457
697155982	orientation	2.8297317, -1.1628532, -1.7445285
697155995	accel	5.5866427, 5.8271213, 2.3353949
697156002	orientation	2.8252864, -1.1194941, -1.7227844
697156015	accel	4.2867417, 5.3183475, 1.8302102
697156022	orientation	2.819808, -1.0793977, -1.6970696
697156035	accel	4.334598, 4.6325045, 0.14237295
697156042	orientation	2.8054554, -1.0359057, -1.6718757
697156055	accel	6.2569323, 4.575077, 0.8138588
697156063	orientation	2.791322, -0.98959076, -1.6498435
697156075	accel	7.1392856, 4.6911287, 2.6922245
697156083	orientation	2.7835019, -0.94517666, -1.6286734
697156095	accel	6.9678993, 4.345366, 2.3665016
697156103	orientation	2.7739809, -0.90284044, -1.6073134
697156115	accel	7.5520473, 3.816253, 0.57936215
697156123	orientation	2.7569027, -0.85869306, -1.5895299
697156136	accel	9.634999, 3.8090746, 0.11365908
697156143	orientation	2.7391884, -0.8133475, -1.5759223
697156156	accel	10.744671, 4.1177487, 1.1527423
697156163	orientation	2.7295609, -0.77299833, -1.5598156
697156176	accel	9.623035, 4.0998025, 2.0901306
697156183	orientation	2.7255614, -0.7385728, -1.5369123
697156196	accel	9.768997, 3.7648072, 0.5386842
697156204	orientation	2.7154274, -0.7039465, -1.5157456
697156216	accel	11.722737, 4.037589, 0.15433706
697156224	orientation	2.7015471, -0.6693506, -1.5011442
697156236	accel	12.420544, 4.642076, 2.053042
697156244	orientation	2.6955612, -0.6404282, -1.4861465
697156257	accel	11.558829, 4.664808, 1.9992033
697156264	orientation	2.6924462, -0.61748666, -1.4672949
697156277	accel	11.799308, 4.465007, 0.49441698
697156284	orientation	2.683755, -0.5946877, -1.4521388
697156297	accel	13.786547, 4.6672006, 0.50039905
697156304	orientation	2.6735282, -0.5716489, -1.4446151
697156317	accel	16.054943, 5.162814, 0.770788
697156325	orientation	2.6663263, -0.55407196, -1.4417949
697156337	accel	16.45933, 5.499305, 0.89312106
697156345	orientation	2.663122, -0.5460364, -1.4378083
697156357	accel	15.960127, 5.4442697, 0.013160525
697156365	orientation	2.661939, -0.54554385, -1.4309641
697156377	accel	15.976877, 5.529215, -0.09092726
697156385	orientation	2.6626346, -0.55051345, -1.4232991
697156398	accel	15.866807, 5.667999, 0.9098708
697156405	orientation	2.6675603, -0.56164277, -1.4157223
